id,horas_capacitación,antiguedad,calificación_previa,puntaje_desempeño
0,20,16,5,73.41835316856731
1,49,19,5,90.22014300658732
2,60,19,1,95.79023962188987
3,53,12,8,90.5214820483329
4,63,2,10,85.70423188038379
5,50,3,4,80.56271728539993
6,93,6,7,103.86187421475282
7,65,6,9,92.04019319514265
8,38,12,0,79.55332632680549
9,27,4,6,68.43382306493895
10,47,17,2,87.31169185319341
11,11,12,3,65.39499317420666
12,12,8,2,62.87499045330924
13,72,5,4,91.40927879401552
14,35,6,2,72.66514052116969
15,88,19,0,110.05967548415083
16,8,17,6,70.24636308479764
17,25,11,4,72.10868649017436
18,4,18,6,69.63565303356393
19,75,12,4,98.6064211493351
20,26,12,3,72.91630407096918
21,21,11,3,70.92474268768993
22,54,8,0,82.90329185106445
23,41,19,6,88.48390941810132
24,44,7,6,79.42430720142109
25,90,11,1,104.40455364325345
26,67,17,10,101.50316329597139
27,6,13,9,66.76752076461109
28,17,20,10,79.43514021567555
29,52,20,10,95.87421988596569
30,51,4,8,83.84822956566761
31,41,7,0,74.96917391628409
32,17,15,7,73.27296686282173
33,10,6,10,62.90796381072994
34,1,6,6,57.77502108453161
35,71,6,3,92.33046147770753
36,34,10,3,73.7435784705526
37,33,10,7,78.23054372649791
38,25,14,7,75.60440039518214
39,30,20,7,84.13820815699532
40,97,9,2,105.48250263196796
41,96,10,1,106.85355356910249
42,97,4,4,101.67784006427262
43,41,11,6,81.93131849660296
44,100,1,9,105.20218220911187
45,19,7,8,69.72677615328433
46,2,17,8,68.55497506401305
47,51,13,7,89.49368797542463
48,29,18,1,80.5689120141761
49,78,7,0,94.11346795062965
50,79,8,9,99.89739288629318
51,31,11,1,73.35693024602443
52,46,12,10,85.4993601526045
53,8,1,5,57.32677455535475
54,51,0,2,75.69952125501678
55,56,3,2,79.65846563735366
56,77,12,1,98.3859992160278
57,84,11,0,99.85521237953367
58,32,8,2,73.7608229745506
59,43,7,2,77.68828814024906
60,19,11,1,68.73682696242284
61,67,13,1,94.68224312137482
62,47,3,4,76.93175258713498
63,58,16,1,91.37427810396896
64,37,2,8,72.34640453798626
65,51,7,0,80.03269484587142
66,35,14,6,78.89116906941456
67,41,3,4,75.06205805165524
68,80,8,4,99.19751516673995
69,11,16,0,68.04192631669007
70,18,14,10,73.24621809589136
71,51,17,1,89.73471390707468
72,31,4,6,73.87066433240382
73,93,3,6,102.54268162396463
74,29,10,2,74.11226155705148
75,0,19,1,66.26261404913956
76,27,13,1,74.42878818269209
77,67,6,3,88.90642707216614
78,46,18,5,88.0222238608647
79,86,6,1,95.36770187965428
80,4,14,3,64.48816125104169
81,21,8,6,69.68174342958753
82,28,9,8,74.28087539516923
83,54,1,7,80.73182428158105
84,24,4,9,70.10373736989511
85,51,3,2,77.84148672832941
86,97,12,8,111.17162020545587
87,4,1,3,52.85755550476704
88,71,19,5,102.18892359145713
89,43,17,10,89.847700756171
90,75,15,1,99.61556596098883
91,66,10,1,90.33655846678754
92,26,19,2,79.18893512621774
93,26,11,2,71.1029771424218
94,69,3,7,88.99743352468478
95,61,17,10,97.80593441878462
96,75,17,4,99.68048734303397
97,70,13,3,95.96040586871986
98,12,14,3,68.65574564317916
99,2,1,1,52.27666408480374
